"lecture_name","entity_name","context","question","answer"
"18100a-lecture-1-multicammp4_360p_16_9","set theory","Full Lecture Transcript","In the lecture, what does the symbol \in represent?","x ∈ S means x is an element (member) of the set S."
"18100a-lecture-1-multicammp4_360p_16_9","set theory","Full Lecture Transcript","According to the lecture, how is the subset relation A⊆B defined?","A⊆B means: for every element x, if x∈A then x∈B."
"18100a-lecture-1-multicammp4_360p_16_9","set theory","Full Lecture Transcript","According to the lecture, what additional condition distinguishes a proper subset from a subset?","A⊂B means A⊆B and A≠B (A does not equal B)."
"18100a-lecture-1-multicammp4_360p_16_9","set theory","Full Lecture Transcript","In the lecture, how does one verify that two sets A and B are equal?","Show A⊆B and B⊆A (each set is a subset of the other)."
"18100a-lecture-1-multicammp4_360p_16_9","set theory","Full Lecture Transcript","According to the lecture, what are the two statements of De Morgan’s laws for sets B and C with respect to complements?","(B∪C)^c = B^c∩C^c \quad \text{and} \quad (B∩C)^c = B^c∪C^c."
"18100a-lecture-1-multicammp4_360p_16_9","axiom","Full Lecture Transcript","In the lecture, how is a *set* formally defined, and what is the notation used for the *empty set*?","A *set* – a collection of objects called *elements* or *members*. The empty set is denoted by \\(\\varnothing\\) (a circle with a dash)."
"18100a-lecture-1-multicammp4_360p_16_9","axiom","Full Lecture Transcript","According to the course material, what is the precise definition of *subset*, *proper subset*, and *equality* of two sets?","A set \(A\) is a *subset* of \(B\) (written \(A \\subseteq B\)) if every element of \(A\) is also an element of \(B\). \(A\) is a *proper subset* of \(B\) (written \(A \\subsetneq B\)) if \(A \\subseteq B\) and \(A \\neq B\). Two sets \(A\) and \(B\) are *equal* (written \(A = B\)) precisely when \(A \\subseteq B\) and \(B \\subseteq A\)."
"18100a-lecture-1-multicammp4_360p_16_9","axiom","Full Lecture Transcript","Which symbols and operations were introduced to express the *union*, *intersection*, *set difference*, and *complement* of sets, and how is the complement of a set defined relative to a universe?","Union: \(A \\cup B\) is the set of all elements in \(A\) or in \(B\).  
   Intersection: \(A \\cap B\) contains all elements that are in both \(A\) and \(B\).  
   Set difference: \(A \\setminus B\) consists of elements in \(A\) that are not in \(B\).  
   Complement: If \(U\) denotes the chosen universe, the complement of \(A\) (written \(A^{c}\) or \(U \\setminus A\)) is the set of all elements in \(U\) that are not in \(A\)."
"18100a-lecture-1-multicammp4_360p_16_9","axiom","Full Lecture Transcript","State De Morgan’s laws as presented in the lecture and explain the logical strategy used to prove the inclusion that \((B \cup C)^{c} \subseteq B^{c} \cap C^{c}\).","De Morgan’s laws:  
    \\((B \\cup C)^{c} = B^{c} \\cap C^{c}\\),  
    \\((B \\cap C)^{c} = B^{c} \\cup C^{c}\\).  
    To prove \((B \\cup C)^{c} \\subseteq B^{c} \\cap C^{c}\) the lecturer shows: let \(x \\in (B \\cup C)^{c}\). Then \(x \\notin B \\cup C\\), so \(x \\notin B\\) and \(x \\notin C\\). Thus \(x \\in B^{c}\\) and \(x \\in C^{c}\\), hence \(x \\in B^{c} \\cap C^{c}\\)."
"18100a-lecture-1-multicammp4_360p_16_9","axiom","Full Lecture Transcript","What are the two key assumptions required in a proof by induction according to the lecture, and how does the well‑ordering principle provide the argument that the induction hypothesis leads to a contradiction if the inductive set is non‑empty?","A proof by induction requires: 1) the *base case* – establishing the statement for \(n=1\); 2) the *inductive step* – proving that if the statement holds for an arbitrary \(n=m\), it holds for \(n=m+1\).  
    The well‑ordering principle is used contrapositive: Assume the set \(S\) of natural numbers for which the statement fails is non‑empty. By well‑ordering, \(S\) has a least element \(x\).  
    Since \(x>1\), \(x-1 \\notin S\), so the statement holds for \(x-1\). The inductive step then produces a contradiction, showing that \(x \\in S\) cannot occur. Therefore \(S\) is empty and the statement holds for all \(n\)."
